FOXSI SMEX effective area, Dec. 6, 2015
     kev     cm2
      2.00000   1.2219491e-10
      2.02000   2.6636104e-10
      2.04000   4.9957092e-10
      2.06000   1.1532751e-09
      2.08000   2.4459265e-09
      2.10000   4.8862340e-09
      2.12000   9.0612556e-09
      2.14000   1.8997544e-08
      2.16000   3.6685261e-08
      2.18000   6.9087058e-08
      2.20000   1.2602284e-07
      2.22000   2.2477151e-07
      2.24000   3.9273285e-07
      2.26000   6.7261529e-07
      2.28000   1.1326611e-06
      2.30000   1.8695409e-06
      2.32000   3.0346904e-06
      2.34000   4.8464931e-06
      2.36000   7.6192153e-06
      2.38000   1.1799423e-05
      2.40000   1.8013721e-05
      2.42000   2.7126887e-05
      2.44000   4.0312052e-05
      2.46000   5.9139980e-05
      2.48000   8.5701772e-05
      2.50000   0.00012269095
      2.52000   0.00017353012
      2.54000   0.00024009669
      2.56000   0.00032903972
      2.58000   0.00045494178
      2.60000   0.00062423984
      2.62000   0.00084424957
      2.64000    0.0011310481
      2.66000    0.0015016803
      2.68000    0.0019765119
      2.70000    0.0025805019
      2.72000    0.0033429404
      2.74000    0.0043010972
      2.76000    0.0054913970
      2.78000    0.0069617543
      2.80000    0.0087683423
      2.82000     0.010975922
      2.84000     0.013651785
      2.86000     0.016870859
      2.88000     0.020727478
      2.90000     0.025177939
      2.92000     0.030522674
      2.94000     0.036999713
      2.96000     0.044612395
      2.98000     0.053488188
      3.00000     0.063800647
      3.02000     0.076030913
      3.04000     0.090150512
      3.06000      0.10645120
      3.08000      0.12515487
      3.10000      0.14649035
      3.12000      0.17088146
      3.14000      0.19813622
      3.16000      0.22880449
      3.18000      0.26329574
      3.20000      0.30206452
      3.22000      0.34694990
      3.24000      0.39610546
      3.26000      0.45073190
      3.28000      0.51124536
      3.30000      0.57821094
      3.32000      0.65204768
      3.34000      0.73312022
      3.36000      0.82188740
      3.38000      0.91902273
      3.40000       1.0251418
      3.42000       1.1405111
      3.44000       1.2656299
      3.46000       1.4010945
      3.48000       1.5475830
      3.50000       1.7056647
      3.52000       1.8755951
      3.54000       2.0582800
      3.56000       2.2542123
      3.58000       2.4637455
      3.60000       2.6871187
      3.62000       2.9256597
      3.64000       3.1800174
      3.66000       3.4487260
      3.68000       3.7341354
      3.70000       4.0368657
      3.72000       4.3567825
      3.74000       4.6942486
      3.76000       5.0496603
      3.78000       5.4239315
      3.80000       5.8175388
      3.82000       6.2309448
      3.84000       6.6646010
      3.86000       7.1180409
      3.88000       7.5914945
      3.90000       8.0860346
      3.92000       8.6019920
      3.94000       9.1399072
      3.96000       9.6990183
      3.98000       10.279471
